from,to,link,year,month
13,13545,1,2008,10
13,13549,1,2008,10
20,3139,1,2008,10
22,335,1,2008,10
23,2072,1,2008,10
23,3829,1,2008,10
23,4140,1,2008,10
23,4881,1,2008,10
23,4996,1,2008,10
23,5968,1,2008,10
23,6029,1,2008,10
23,7394,1,2008,10
23,7988,1,2008,10
23,10397,1,2008,10
23,19228,1,2008,10
23,22132,1,2008,10
23,30231,1,2008,10
23,31063,1,2008,10
23,38517,1,2008,10
23,41667,1,2008,10
24,842,1,2008,10
24,8870,1,2008,10
24,47708,1,2008,10
24,47709,1,2008,10
25,1646,1,2008,10
27,335,1,2008,10
27,3019,1,2008,10
27,34115,1,2008,10
30,12683,1,2008,10
31,57477,1,2008,10
36,3062,1,2008,10
36,3904,1,2008,10
36,12378,1,2008,10
36,12594,1,2008,10
36,20645,1,2008,10
39,2846,1,2008,10
40,4789,1,2008,10
40,10395,1,2008,10
41,399,1,2008,10
41,2459,1,2008,10
42,22750,1,2008,10
42,28303,1,2008,10
46,27450,1,2008,10
50,52,1,2008,10
55,7686,1,2008,10
55,9418,1,2008,10
55,27457,1,2008,10
56,1524,1,2008,10
56,1998,1,2008,10
56,2087,1,2008,10
56,6120,1,2008,10
56,6545,1,2008,10
56,20680,1,2008,10
65,2365,1,2008,10
65,13285,1,2008,10
66,4276,1,2008,10
69,2368,1,2008,10
69,10693,1,2008,10
69,12736,1,2008,10
71,9072,1,2008,10
71,39341,1,2008,10
74,2720,1,2008,10
76,256,1,2008,10
82,10601,1,2008,10
82,21047,1,2008,10
82,21051,1,2008,10
83,39777,1,2008,10
85,3131,1,2008,10
85,7394,1,2008,10
85,12316,1,2008,10
85,19231,1,2008,10
85,30886,1,2008,10
85,40386,1,2008,10
85,51878,1,2008,10
85,52307,1,2008,10
85,57606,1,2008,10
85,60991,1,2008,10
87,442,1,2008,10
106,117,1,2008,10
107,18834,1,2008,10
107,21447,1,2008,10
108,111,1,2008,10
108,4257,1,2008,10
111,605,1,2008,10
111,7576,1,2008,10
111,13427,1,2008,10
112,6941,1,2008,10
112,22706,1,2008,10
115,1022,1,2008,10
115,6941,1,2008,10
117,441,1,2008,10
117,589,1,2008,10
117,2161,1,2008,10
117,7660,1,2008,10
117,16275,1,2008,10
118,27560,1,2008,10
119,13566,1,2008,10
123,1973,1,2008,10
126,30306,1,2008,10
126,31791,1,2008,10
129,7591,1,2008,10
129,7632,1,2008,10
129,16790,1,2008,10
129,33081,1,2008,10
130,6693,1,2008,10
132,5185,1,2008,10
132,13484,1,2008,10
132,36176,1,2008,10
133,8122,1,2008,10
133,9940,1,2008,10
133,19513,1,2008,10
133,19783,1,2008,10
133,20790,1,2008,10
133,22696,1,2008,10
133,24363,1,2008,10
133,24986,1,2008,10
133,26870,1,2008,10
133,28617,1,2008,10
133,31222,1,2008,10
133,34731,1,2008,10
135,39125,1,2008,10
142,21027,1,2008,10
142,23696,1,2008,10
143,951,1,2008,10
144,10644,1,2008,10
144,21725,1,2008,10
150,38221,1,2008,10
150,39056,1,2008,10
154,441,1,2008,10
154,3641,1,2008,10
157,11520,1,2008,10
157,30488,1,2008,10
158,429,1,2008,10
158,13566,1,2008,10
161,179,1,2008,10
161,180,1,2008,10
161,185,1,2008,10
161,204,1,2008,10
161,206,1,2008,10
164,1959,1,2008,10
166,2095,1,2008,10
167,179,1,2008,10
171,656,1,2008,10
173,4927,1,2008,10
177,204,1,2008,10
178,309,1,2008,10
178,844,1,2008,10
178,1957,1,2008,10
179,185,1,2008,10
179,204,1,2008,10
197,54242,1,2008,10
198,6570,1,2008,10
199,21924,1,2008,10
204,4047,1,2008,10
205,10397,1,2008,10
205,10983,1,2008,10
205,46615,1,2008,10
205,54905,1,2008,10
206,1461,1,2008,10
206,1471,1,2008,10
206,1499,1,2008,10
206,1612,1,2008,10
206,5543,1,2008,10
206,6605,1,2008,10
206,16189,1,2008,10
206,18330,1,2008,10
206,25575,1,2008,10
206,26247,1,2008,10
206,29356,1,2008,10
206,33509,1,2008,10
206,35663,1,2008,10
206,38929,1,2008,10
206,47672,1,2008,10
206,47934,1,2008,10
206,49924,1,2008,10
206,51879,1,2008,10
207,469,1,2008,10
207,2805,1,2008,10
207,3131,1,2008,10
207,5155,1,2008,10
207,5424,1,2008,10
207,7341,1,2008,10
207,7346,1,2008,10
207,7347,1,2008,10
207,7365,1,2008,10
207,18607,1,2008,10
207,20183,1,2008,10
207,23898,1,2008,10
207,24174,1,2008,10
207,24463,1,2008,10
207,25760,1,2008,10
207,28237,1,2008,10
207,33663,1,2008,10
207,63725,1,2008,10
214,12876,1,2008,10
214,22750,1,2008,10
217,892,1,2008,10
218,21709,1,2008,10
223,17809,1,2008,10
224,556,1,2008,10
224,1322,1,2008,10
224,7781,1,2008,10
224,12400,1,2008,10
224,16608,1,2008,10
224,44722,1,2008,10
225,1535,1,2008,10
228,29492,1,2008,10
230,7394,1,2008,10
230,9030,1,2008,10
230,14161,1,2008,10
230,38519,1,2008,10
230,47417,1,2008,10
230,56616,1,2008,10
233,2589,1,2008,10
233,2591,1,2008,10
237,2793,1,2008,10
237,2808,1,2008,10
238,261,1,2008,10
238,2408,1,2008,10
238,3755,1,2008,10
240,250,1,2008,10
240,3780,1,2008,10
242,5690,1,2008,10
243,6132,1,2008,10
243,6133,1,2008,10
246,1729,1,2008,10
247,5547,1,2008,10
254,2062,1,2008,10
254,11987,1,2008,10
261,672,1,2008,10
261,5858,1,2008,10
268,23617,1,2008,10
272,24812,1,2008,10
273,8351,1,2008,10
273,21143,1,2008,10
273,26359,1,2008,10
274,4282,1,2008,10
279,2720,1,2008,10
286,2529,1,2008,10
286,8202,1,2008,10
288,3156,1,2008,10
289,44938,1,2008,10
296,6240,1,2008,10
296,36479,1,2008,10
297,19300,1,2008,10
297,37386,1,2008,10
299,10540,1,2008,10
299,11212,1,2008,10
300,6405,1,2008,10
301,9112,1,2008,10
301,12729,1,2008,10
302,309,1,2008,10
302,1827,1,2008,10
302,9679,1,2008,10
302,16903,1,2008,10
307,310,1,2008,10
307,5483,1,2008,10
309,2365,1,2008,10
310,3950,1,2008,10
310,10958,1,2008,10
310,26763,1,2008,10
310,41432,1,2008,10
313,32458,1,2008,10
316,8653,1,2008,10
316,28836,1,2008,10
317,5155,1,2008,10
317,19494,1,2008,10
318,37103,1,2008,10
319,15298,1,2008,10
319,22372,1,2008,10
319,27694,1,2008,10
319,29810,1,2008,10
320,1161,1,2008,10
320,1165,1,2008,10
320,3118,1,2008,10
325,24234,1,2008,10
326,7797,1,2008,10
329,2330,1,2008,10
329,2370,1,2008,10
329,4850,1,2008,10
329,25911,1,2008,10
331,630,1,2008,10
331,16911,1,2008,10
332,17793,1,2008,10
332,22265,1,2008,10
332,30715,1,2008,10
332,47568,1,2008,10
332,49006,1,2008,10
332,50941,1,2008,10
333,354,1,2008,10
333,31412,1,2008,10
335,1635,1,2008,10
335,4219,1,2008,10
339,354,1,2008,10
343,5587,1,2008,10
346,18184,1,2008,10
348,3697,1,2008,10
350,3414,1,2008,10
350,6577,1,2008,10
351,2979,1,2008,10
351,48645,1,2008,10
351,52879,1,2008,10
351,59574,1,2008,10
359,38541,1,2008,10
360,510,1,2008,10
360,4533,1,2008,10
360,9140,1,2008,10
362,47742,1,2008,10
363,8257,1,2008,10
364,4533,1,2008,10
364,12468,1,2008,10
364,46807,1,2008,10
369,849,1,2008,10
369,6572,1,2008,10
369,11178,1,2008,10
369,11189,1,2008,10
369,11409,1,2008,10
369,38539,1,2008,10
369,41613,1,2008,10
374,26202,1,2008,10
377,4162,1,2008,10
377,12239,1,2008,10
377,13571,1,2008,10
377,13574,1,2008,10
379,17158,1,2008,10
379,17159,1,2008,10
380,382,1,2008,10
381,2851,1,2008,10
381,4673,1,2008,10
381,6418,1,2008,10
381,13785,1,2008,10
381,15795,1,2008,10
381,24484,1,2008,10
381,24486,1,2008,10
388,1312,1,2008,10
388,1575,1,2008,10
388,2492,1,2008,10
388,29265,1,2008,10
389,4826,1,2008,10
389,5947,1,2008,10
389,7320,1,2008,10
391,7747,1,2008,10
394,3178,1,2008,10
396,26610,1,2008,10
398,4679,1,2008,10
398,7156,1,2008,10
398,13571,1,2008,10
398,31064,1,2008,10
399,4163,1,2008,10
401,4162,1,2008,10
402,40953,1,2008,10
403,6313,1,2008,10
403,22005,1,2008,10
406,10057,1,2008,10
406,39779,1,2008,10
407,605,1,2008,10
407,10212,1,2008,10
414,24017,1,2008,10
415,13988,1,2008,10
415,40405,1,2008,10
416,23728,1,2008,10
417,13566,1,2008,10
418,39396,1,2008,10
421,5214,1,2008,10
421,5853,1,2008,10
421,12595,1,2008,10
422,7593,1,2008,10
422,11856,1,2008,10
422,16322,1,2008,10
422,16325,1,2008,10
422,23012,1,2008,10
423,10056,1,2008,10
423,19592,1,2008,10
423,29408,1,2008,10
423,29592,1,2008,10
423,60562,1,2008,10
424,20449,1,2008,10
424,45802,1,2008,10
425,4162,1,2008,10
425,7341,1,2008,10
425,29358,1,2008,10
429,8130,1,2008,10
429,22324,1,2008,10
431,589,1,2008,10
431,606,1,2008,10
433,3631,1,2008,10
433,3691,1,2008,10
433,8633,1,2008,10
433,8714,1,2008,10
433,15400,1,2008,10
433,16688,1,2008,10
433,22737,1,2008,10
433,36351,1,2008,10
433,36965,1,2008,10
435,8707,1,2008,10
435,9876,1,2008,10
437,593,1,2008,10
437,5170,1,2008,10
437,9231,1,2008,10
437,9960,1,2008,10
437,11820,1,2008,10
437,12649,1,2008,10
437,14313,1,2008,10
437,20759,1,2008,10
437,28442,1,2008,10
438,19204,1,2008,10
438,34285,1,2008,10
441,9876,1,2008,10
441,26955,1,2008,10
441,27581,1,2008,10
441,40518,1,2008,10
442,4191,1,2008,10
442,62363,1,2008,10
445,807,1,2008,10
445,13351,1,2008,10
451,4091,1,2008,10
451,5508,1,2008,10
451,6481,1,2008,10
451,7911,1,2008,10
451,11182,1,2008,10
451,11366,1,2008,10
451,11439,1,2008,10
451,11693,1,2008,10
451,38708,1,2008,10
451,38711,1,2008,10
451,38734,1,2008,10
460,4769,1,2008,10
460,16852,1,2008,10
461,472,1,2008,10
463,20886,1,2008,10
465,51406,1,2008,10
466,2069,1,2008,10
468,470,1,2008,10
469,472,1,2008,10
469,3291,1,2008,10
469,4580,1,2008,10
469,7594,1,2008,10
469,8990,1,2008,10
469,19592,1,2008,10
469,19951,1,2008,10
469,47045,1,2008,10
469,52832,1,2008,10
470,2478,1,2008,10
470,5966,1,2008,10
470,6294,1,2008,10
471,2492,1,2008,10
471,3463,1,2008,10
471,3519,1,2008,10
471,3810,1,2008,10
471,4140,1,2008,10
471,4352,1,2008,10
471,5187,1,2008,10
471,7636,1,2008,10
471,8369,1,2008,10
471,9612,1,2008,10
471,11182,1,2008,10
471,11985,1,2008,10
471,13144,1,2008,10
471,15373,1,2008,10
471,15666,1,2008,10
471,17012,1,2008,10
471,18740,1,2008,10
471,19197,1,2008,10
471,19630,1,2008,10
471,20112,1,2008,10
471,20373,1,2008,10
471,21031,1,2008,10
471,21035,1,2008,10
471,21947,1,2008,10
471,24900,1,2008,10
471,26536,1,2008,10
471,27071,1,2008,10
471,30237,1,2008,10
471,38053,1,2008,10
472,1337,1,2008,10
472,1524,1,2008,10
472,3753,1,2008,10
472,4714,1,2008,10
472,13375,1,2008,10
472,18491,1,2008,10
472,40180,1,2008,10
472,48405,1,2008,10
478,6355,1,2008,10
479,6355,1,2008,10
481,1736,1,2008,10
484,4122,1,2008,10
484,13988,1,2008,10
487,4634,1,2008,10
490,1440,1,2008,10
493,22714,1,2008,10
494,1575,1,2008,10
494,25459,1,2008,10
500,1419,1,2008,10
500,1575,1,2008,10
501,2182,1,2008,10
501,35992,1,2008,10
503,2080,1,2008,10
506,16755,1,2008,10
507,42668,1,2008,10
507,53020,1,2008,10
508,8502,1,2008,10
508,16326,1,2008,10
508,19793,1,2008,10
510,1416,1,2008,10
510,1419,1,2008,10
510,1445,1,2008,10
510,1477,1,2008,10
510,1478,1,2008,10
510,1492,1,2008,10
510,1503,1,2008,10
510,1510,1,2008,10
510,1513,1,2008,10
510,1517,1,2008,10
519,16814,1,2008,10
519,16815,1,2008,10
521,575,1,2008,10
523,5588,1,2008,10
527,2936,1,2008,10
527,8565,1,2008,10
527,8905,1,2008,10
535,29619,1,2008,10
536,30541,1,2008,10
539,1352,1,2008,10
539,1988,1,2008,10
539,5874,1,2008,10
547,27209,1,2008,10
548,49714,1,2008,10
556,12428,1,2008,10
556,22014,1,2008,10
556,22016,1,2008,10
556,22030,1,2008,10
560,2108,1,2008,10
562,1068,1,2008,10
562,25106,1,2008,10
566,1079,1,2008,10
566,1962,1,2008,10
572,656,1,2008,10
572,11380,1,2008,10
572,11390,1,2008,10
573,11679,1,2008,10
575,2561,1,2008,10
575,4171,1,2008,10
577,20605,1,2008,10
581,6534,1,2008,10
582,8717,1,2008,10
589,12610,1,2008,10
589,15210,1,2008,10
589,32100,1,2008,10
590,11634,1,2008,10
590,16689,1,2008,10
590,34579,1,2008,10
593,5438,1,2008,10
593,24975,1,2008,10
593,25563,1,2008,10
594,3680,1,2008,10
594,5102,1,2008,10
594,8617,1,2008,10
594,14267,1,2008,10
595,796,1,2008,10
595,12610,1,2008,10
595,38221,1,2008,10
596,1209,1,2008,10
596,5055,1,2008,10
596,13517,1,2008,10
597,43115,1,2008,10
600,22149,1,2008,10
600,25044,1,2008,10
600,32119,1,2008,10
600,48727,1,2008,10
603,11814,1,2008,10
605,1243,1,2008,10
605,8689,1,2008,10
605,16366,1,2008,10
606,21935,1,2008,10
607,803,1,2008,10
607,10097,1,2008,10
607,11565,1,2008,10
607,16657,1,2008,10
607,50843,1,2008,10
609,1243,1,2008,10
609,13317,1,2008,10
616,3458,1,2008,10
620,20423,1,2008,10
624,1533,1,2008,10
625,12607,1,2008,10
631,640,1,2008,10
631,649,1,2008,10
636,836,1,2008,10
636,1539,1,2008,10
636,2404,1,2008,10
639,1409,1,2008,10
639,2090,1,2008,10
639,2372,1,2008,10
639,4276,1,2008,10
640,1955,1,2008,10
640,12210,1,2008,10
640,13446,1,2008,10
642,2372,1,2008,10
642,7370,1,2008,10
642,8080,1,2008,10
642,17165,1,2008,10
642,17166,1,2008,10
642,17984,1,2008,10
648,28678,1,2008,10
650,8512,1,2008,10
650,17822,1,2008,10
650,18426,1,2008,10
651,2417,1,2008,10
654,8193,1,2008,10
654,11572,1,2008,10
654,14324,1,2008,10
654,19709,1,2008,10
655,19709,1,2008,10
656,4622,1,2008,10
660,3768,1,2008,10
669,2512,1,2008,10
672,673,1,2008,10
672,1129,1,2008,10
672,2225,1,2008,10
672,43335,1,2008,10
678,4566,1,2008,10
679,1201,1,2008,10
680,32735,1,2008,10
682,6540,1,2008,10
682,6896,1,2008,10
682,7679,1,2008,10
682,7729,1,2008,10
682,7730,1,2008,10
686,842,1,2008,10
686,1095,1,2008,10
687,4227,1,2008,10
688,4135,1,2008,10
696,1085,1,2008,10
696,5387,1,2008,10
696,8480,1,2008,10
696,17073,1,2008,10
696,20015,1,2008,10
697,25368,1,2008,10
699,8717,1,2008,10
700,18245,1,2008,10
700,29717,1,2008,10
700,30094,1,2008,10
702,1192,1,2008,10
703,2413,1,2008,10
703,3090,1,2008,10
704,1690,1,2008,10
704,11466,1,2008,10
706,7932,1,2008,10
706,13852,1,2008,10
706,16887,1,2008,10
706,17941,1,2008,10
706,18077,1,2008,10
708,1729,1,2008,10
708,2230,1,2008,10
709,15812,1,2008,10
709,24285,1,2008,10
715,6545,1,2008,10
716,1575,1,2008,10
717,21294,1,2008,10
717,21296,1,2008,10
718,2172,1,2008,10
718,6715,1,2008,10
718,21802,1,2008,10
727,2206,1,2008,10
727,12401,1,2008,10
728,3427,1,2008,10
730,22650,1,2008,10
730,40442,1,2008,10
730,41102,1,2008,10
732,736,1,2008,10
735,736,1,2008,10
735,973,1,2008,10
735,978,1,2008,10
736,986,1,2008,10
736,1544,1,2008,10
736,10452,1,2008,10
736,15559,1,2008,10
742,12299,1,2008,10
745,3759,1,2008,10
749,1093,1,2008,10
749,1095,1,2008,10
749,1096,1,2008,10
749,1102,1,2008,10
750,7143,1,2008,10
753,12226,1,2008,10
754,48239,1,2008,10
760,4032,1,2008,10
760,6994,1,2008,10
760,10626,1,2008,10
760,17422,1,2008,10
761,5587,1,2008,10
761,17422,1,2008,10
762,18412,1,2008,10
764,27920,1,2008,10
765,11430,1,2008,10
767,4116,1,2008,10
767,18735,1,2008,10
775,1080,1,2008,10
775,8474,1,2008,10
775,10216,1,2008,10
779,15334,1,2008,10
779,15349,1,2008,10
786,13857,1,2008,10
786,15208,1,2008,10
789,12185,1,2008,10
789,19413,1,2008,10
793,19472,1,2008,10
793,24432,1,2008,10
794,2014,1,2008,10
794,5098,1,2008,10
794,25650,1,2008,10
794,36500,1,2008,10
794,36569,1,2008,10
795,1995,1,2008,10
796,1243,1,2008,10
796,1512,1,2008,10
796,27209,1,2008,10
796,44875,1,2008,10
800,5873,1,2008,10
800,7660,1,2008,10
800,9269,1,2008,10
800,26127,1,2008,10
803,45397,1,2008,10
807,1188,1,2008,10
807,1481,1,2008,10
807,1493,1,2008,10
807,2065,1,2008,10
807,2402,1,2008,10
807,3127,1,2008,10
807,6070,1,2008,10
807,7389,1,2008,10
807,10673,1,2008,10
807,12378,1,2008,10
807,15447,1,2008,10
807,19054,1,2008,10
808,28102,1,2008,10
809,1209,1,2008,10
810,25044,1,2008,10
810,38692,1,2008,10
816,8273,1,2008,10
816,9889,1,2008,10
818,1944,1,2008,10
818,9889,1,2008,10
818,26881,1,2008,10
818,28442,1,2008,10
819,834,1,2008,10
823,834,1,2008,10
823,22277,1,2008,10
823,30969,1,2008,10
823,39743,1,2008,10
824,5980,1,2008,10
824,27920,1,2008,10
824,39360,1,2008,10
825,22277,1,2008,10
831,7569,1,2008,10
831,8638,1,2008,10
831,13003,1,2008,10
831,16583,1,2008,10
831,19764,1,2008,10
831,20587,1,2008,10
831,20886,1,2008,10
831,22277,1,2008,10
831,22346,1,2008,10
831,26199,1,2008,10
831,31796,1,2008,10
831,35057,1,2008,10
831,39554,1,2008,10
831,39569,1,2008,10
831,44206,1,2008,10
832,3674,1,2008,10
832,11549,1,2008,10
832,14660,1,2008,10
832,25775,1,2008,10
832,31068,1,2008,10
833,8689,1,2008,10
833,20028,1,2008,10
833,25672,1,2008,10
833,25742,1,2008,10
834,3679,1,2008,10
834,17329,1,2008,10
834,19413,1,2008,10
834,19572,1,2008,10
834,19758,1,2008,10
834,23078,1,2008,10
834,27038,1,2008,10
834,27813,1,2008,10
834,33836,1,2008,10
834,34611,1,2008,10
834,34783,1,2008,10
834,36246,1,2008,10
834,36729,1,2008,10
834,36811,1,2008,10
834,40078,1,2008,10
834,40531,1,2008,10
834,42278,1,2008,10
836,9030,1,2008,10
841,15622,1,2008,10
843,6710,1,2008,10
846,849,1,2008,10
846,1956,1,2008,10
849,1048,1,2008,10
849,1698,1,2008,10
