source,target,link
1,24,True
3,4223,True
13,1008,True
13,3208,True
13,3212,True
13,3222,True
13,3366,True
13,3802,True
13,8210,True
13,13545,True
13,13549,True
13,15002,True
13,20729,True
13,20730,True
13,20732,True
16,814,True
17,2095,True
17,20645,True
18,814,True
19,20602,True
20,3139,True
22,335,True
23,455,True
23,1175,True
23,2072,True
23,3620,True
23,3829,True
23,4140,True
23,4881,True
23,5968,True
23,6029,True
23,6106,True
23,7055,True
23,7394,True
23,7988,True
23,10397,True
23,10769,True
23,17940,True
23,18352,True
23,19228,True
23,19582,True
23,22132,True
23,23677,True
23,29331,True
23,30231,True
23,31063,True
23,31066,True
23,31992,True
23,36941,True
23,38517,True
23,40156,True
23,41667,True
24,842,True
24,2714,True
24,8870,True
24,9679,True
24,12127,True
24,19988,True
26,336,True
26,814,True
26,1658,True
31,135,True
36,2321,True
36,3062,True
36,3904,True
36,7599,True
36,9296,True
36,12378,True
36,12594,True
36,20645,True
38,48,True
39,688,True
40,4789,True
40,7385,True
40,9027,True
40,9590,True
40,10395,True
40,11306,True
40,18861,True
40,19948,True
40,19954,True
40,19956,True
40,19959,True
41,399,True
41,2454,True
41,12388,True
41,20643,True
42,14714,True
42,28302,True
43,48,True
43,12100,True
43,20499,True
44,48,True
44,13334,True
45,6025,True
46,16223,True
46,19225,True
46,31692,True
48,652,True
55,957,True
55,7686,True
55,20999,True
55,21234,True
55,27457,True
56,388,True
56,398,True
56,575,True
56,1463,True
56,1524,True
56,1724,True
56,1998,True
56,2087,True
56,2340,True
56,2368,True
56,4706,True
56,5577,True
56,6120,True
56,6529,True
56,6545,True
56,13571,True
56,21666,True
56,53155,True
65,2188,True
65,2365,True
65,13285,True
66,6476,True
69,1902,True
69,2368,True
69,10693,True
70,25965,True
70,28730,True
71,9072,True
71,9695,True
71,39340,True
71,39341,True
75,2944,True
76,256,True
82,2695,True
82,6126,True
82,7952,True
82,10436,True
82,10601,True
82,10752,True
82,10842,True
82,11133,True
82,13984,True
82,19744,True
82,21047,True
82,21051,True
83,14371,True
83,39777,True
85,1813,True
85,1978,True
85,1979,True
85,3131,True
85,5198,True
85,5948,True
85,7394,True
85,8063,True
85,9599,True
85,11178,True
85,11196,True
85,11331,True
85,12316,True
85,12486,True
85,14954,True
85,17998,True
85,19231,True
85,19951,True
85,22248,True
85,23922,True
85,24900,True
85,38685,True
85,39705,True
85,40386,True
85,40998,True
85,51878,True
85,52307,True
85,56374,True
85,57606,True
87,442,True
91,580,True
91,602,True
91,803,True
94,4293,True
98,1995,True
101,1181,True
102,437,True
102,11314,True
105,605,True
106,117,True
106,1194,True
107,141,True
107,4176,True
107,10661,True
107,18834,True
107,21447,True
108,111,True
108,4257,True
111,575,True
111,605,True
111,7576,True
111,13427,True
111,26479,True
111,26480,True
112,6941,True
112,16640,True
115,1022,True
115,1998,True
115,6941,True
115,19186,True
116,18678,True
117,441,True
117,519,True
117,589,True
117,2161,True
117,6942,True
117,7660,True
117,16275,True
118,2654,True
118,11633,True
118,20135,True
118,20399,True
118,27151,True
118,27560,True
118,27561,True
119,27325,True
123,1973,True
123,3380,True
123,9231,True
126,524,True
126,3691,True
126,11543,True
126,17107,True
126,20241,True
126,28332,True
126,30306,True
126,31790,True
128,606,True
129,513,True
129,3600,True
129,7591,True
129,7632,True
129,11314,True
129,12611,True
129,16459,True
129,16790,True
129,18031,True
129,20333,True
129,22677,True
130,6693,True
132,4293,True
132,5185,True
132,13484,True
132,36176,True
133,3639,True
133,3649,True
133,5159,True
133,5483,True
133,8122,True
133,9940,True
133,10532,True
133,10686,True
133,15341,True
133,15384,True
133,17184,True
133,19513,True
133,19783,True
133,20790,True
133,20853,True
133,22294,True
133,22696,True
133,24363,True
133,24977,True
